"No.","Time","Source","Destination","Protocol","Length","Info"
"14213","145.120006","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12949112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14214","145.120026","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12950512 Win=65792 Len=0"
"14215","145.120246","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12950512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14216","145.120257","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12951912 Win=65792 Len=0"
"14217","145.120521","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12951912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14218","145.125816","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12953312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14219","145.125871","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12954712 Win=65792 Len=0"
"14220","145.126422","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12954712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14221","145.126422","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12956112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14222","145.126422","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12957512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14223","145.126436","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12958912 Win=65792 Len=0"
"14224","145.126666","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12958912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14225","145.126677","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12960312 Win=65792 Len=0"
"14226","145.126936","27.112.79.120","192.168.43.150","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"14227","145.127216","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12961712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14228","145.127226","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12963112 Win=65792 Len=0"
"14229","145.132637","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12963112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14230","145.132637","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12964512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14231","145.132637","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12965912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14232","145.132701","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12967312 Win=65792 Len=0"
"14233","145.132860","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12967312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14234","145.132875","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12968712 Win=65792 Len=0"
"14235","145.133206","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12968712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14236","145.133411","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12970112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14237","145.133441","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12971512 Win=65792 Len=0"
"14238","145.138329","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12971512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14239","145.138545","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12972912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14240","145.138589","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12974312 Win=65792 Len=0"
"14241","145.138823","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12974312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14242","145.139063","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12975712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14243","145.139092","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12977112 Win=65792 Len=0"
"14244","145.144194","27.112.79.120","192.168.43.150","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"14245","145.153532","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12978512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14246","145.153532","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12979912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14247","145.153625","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12981312 Win=65792 Len=0"
"14248","145.154256","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12981312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14249","145.154256","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12982712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14250","145.154256","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12984112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14251","145.154256","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12985512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
